reservation_status_date,reservation_status_date,proportion
2014-10-17,180,0.17493731412910374
2014-11-18,1,0.0009718739673839096
2015-01-01,763,0.741539837113923
2015-01-02,7,0.006803117771687368
2015-01-20,2,0.0019437479347678191
2015-01-21,1,0.0009718739673839096
2015-01-22,3,0.002915621902151729
2015-01-28,1,0.0009718739673839096
2015-01-29,1,0.0009718739673839096
2015-01-30,67,0.06511555581472195
2015-02-02,2,0.0019437479347678191
2015-02-05,4,0.0038874958695356383
2015-02-06,1,0.0009718739673839096
2015-02-09,1,0.0009718739673839096
2015-02-10,2,0.0019437479347678191
2015-02-11,3,0.002915621902151729
2015-02-12,1,0.0009718739673839096
2015-02-17,2,0.0019437479347678191
2015-02-19,1,0.0009718739673839096
2015-02-20,20,0.019437479347678192
2015-02-23,2,0.0019437479347678191
2015-02-24,1,0.0009718739673839096
2015-02-25,2,0.0019437479347678191
2015-02-26,1,0.0009718739673839096
2015-02-27,1,0.0009718739673839096
2015-03-03,38,0.03693121076058857
2015-03-04,2,0.0019437479347678191
2015-03-05,1,0.0009718739673839096
2015-03-06,2,0.0019437479347678191
2015-03-09,4,0.0038874958695356383
2015-03-10,1,0.0009718739673839096
2015-03-11,1,0.0009718739673839096
2015-03-12,1,0.0009718739673839096
2015-03-13,1,0.0009718739673839096
2015-03-17,4,0.0038874958695356383
2015-03-18,1,0.0009718739673839096
2015-03-23,2,0.0019437479347678191
2015-03-24,3,0.002915621902151729
2015-03-25,17,0.016521857445526464
2015-03-28,1,0.0009718739673839096
2015-03-29,1,0.0009718739673839096
2015-03-30,1,0.0009718739673839096
2015-03-31,4,0.0038874958695356383
2015-04-02,18,0.017493731412910375
2015-04-03,2,0.0019437479347678191
2015-04-04,8,0.007774991739071277
2015-04-05,6,0.005831243804303458
2015-04-06,4,0.0038874958695356383
2015-04-07,1,0.0009718739673839096
2015-04-08,3,0.002915621902151729
2015-04-10,5,0.004859369836919548
2015-04-11,3,0.002915621902151729
2015-04-13,2,0.0019437479347678191
2015-04-14,3,0.002915621902151729
2015-04-15,9,0.008746865706455187
2015-04-16,7,0.006803117771687368
2015-04-17,2,0.0019437479347678191
2015-04-18,2,0.0019437479347678191
2015-04-20,6,0.005831243804303458
2015-04-21,1,0.0009718739673839096
2015-04-22,7,0.006803117771687368
2015-04-23,3,0.002915621902151729
2015-04-24,4,0.0038874958695356383
2015-04-25,1,0.0009718739673839096
2015-04-27,1,0.0009718739673839096
2015-04-29,7,0.006803117771687368
2015-04-30,1,0.0009718739673839096
2015-05-01,9,0.008746865706455187
2015-05-04,2,0.0019437479347678191
2015-05-05,4,0.0038874958695356383
2015-05-06,6,0.005831243804303458
2015-05-07,6,0.005831243804303458
2015-05-08,3,0.002915621902151729
2015-05-09,4,0.0038874958695356383
2015-05-11,5,0.004859369836919548
2015-05-12,11,0.010690613641223005
2015-05-13,13,0.012634361575990826
2015-05-14,50,0.048593698369195484
2015-05-15,1,0.0009718739673839096
2015-05-16,3,0.002915621902151729
2015-05-18,12,0.011662487608606916
2015-05-19,32,0.031099966956285106
2015-05-20,8,0.007774991739071277
2015-05-21,3,0.002915621902151729
2015-05-22,10,0.009718739673839096
2015-05-23,7,0.006803117771687368
2015-05-25,5,0.004859369836919548
2015-05-26,2,0.0019437479347678191
2015-05-27,10,0.009718739673839096
2015-05-28,28,0.02721247108674947
2015-05-29,33,0.032071840923669014
2015-05-30,3,0.002915621902151729
2015-06-01,13,0.012634361575990826
2015-06-02,10,0.009718739673839096
2015-06-03,8,0.007774991739071277
2015-06-04,6,0.005831243804303458
2015-06-05,7,0.006803117771687368
2015-06-06,3,0.002915621902151729
2015-06-08,10,0.009718739673839096
2015-06-09,35,0.034015588858436835
2015-06-10,4,0.0038874958695356383
2015-06-11,13,0.012634361575990826
2015-06-12,10,0.009718739673839096
2015-06-13,4,0.0038874958695356383
2015-06-15,51,0.04956557233657939
2015-06-16,43,0.04179058059750811
2015-06-17,91,0.08844053103193578
2015-06-18,7,0.006803117771687368
2015-06-19,14,0.013606235543374735
2015-06-20,7,0.006803117771687368
2015-06-22,13,0.012634361575990826
2015-06-23,22,0.02138122728244601
2015-06-24,6,0.005831243804303458
2015-06-25,14,0.013606235543374735
2015-06-26,26,0.025268723151981653
2015-06-27,29,0.028184345054133378
2015-06-29,96,0.09329990086885533
2015-06-30,54,0.05248119423873112
2015-07-01,12,0.011662487608606916
2015-07-02,464,0.45094952086613405
2015-07-03,149,0.14480922114020253
2015-07-04,16,0.015549983478142553
2015-07-05,31,0.0301280929889012
2015-07-06,803,0.7804147958092794
2015-07-07,48,0.04664995043442766
